profile,seed,rating,policy,scenario,mmr_rank_divergence,visible_rank_volatility,rank_mmr_hysteresis_area,fairness_debt_index,exposure_risk_index
full_core,202,dynamic_k,multi_objective,rank_mmr_divergence,44.34526854448664,146.80465048594752,3991.074169003798,0.2916623245295219,0.5275613425162269
full_core,202,context_aware,nearest,rating_validity,28.950046924035163,188.11965341442072,2605.5042231631646,0.49234513005734354,0.7493795294163178
full_core,202,drift_aware,nearest,rating_validity,26.810970525205985,112.35663275226555,2412.9873472685385,0.4905467150554645,0.7311075527220341
full_core,202,dynamic_k,nearest,rating_validity,27.83637918100864,186.34805978891,2505.2741262907775,0.5040790650940019,0.7568427924678023
full_core,202,elo,nearest,rating_validity,18.861225206550568,159.7552730649711,1697.510268589551,0.6250339475307939,0.7799383288460233
full_core,202,glicko_like,nearest,rating_validity,22.26434977887666,167.6745264675199,2003.7914800988995,0.5717223263691115,0.770737532559132
full_core,202,dynamic_k,multi_objective,role_scarcity,28.10241910782121,172.96349081756193,2529.2177197039086,0.2705230211041335,0.4968888541891939
full_core,202,dynamic_k,multi_objective,seasonal_reset,26.79010272365772,171.16237511903284,2411.1092451291947,0.27819616567840283,0.5007442617205149
full_core,202,dynamic_k,multi_objective,skill_drift,27.31140737154702,173.7871353116437,2458.026663439232,0.30790805494187806,0.5086467958219114
full_core,202,dynamic_k,multi_objective,smurf_disruption,27.163759746668436,193.16595789961997,2444.7383772001594,0.36629510329147885,0.5304606308011219
full_core,202,dynamic_k,expanding,team_matchmaking,27.83637918100864,186.34805978891,2505.2741262907775,0.5040790650940019,0.7568427924678023
full_core,202,dynamic_k,fairness_constrained,team_matchmaking,27.597834772874176,187.15052985117933,2483.8051295586756,0.565339106015266,0.7685317693530054
full_core,202,dynamic_k,multi_objective,team_matchmaking,27.165815921639226,173.5101364019201,2444.9234329475303,0.28090851389060706,0.4948076479997418
full_core,202,dynamic_k,nearest,team_matchmaking,27.83637918100864,186.34805978891,2505.2741262907775,0.5040790650940019,0.7568427924678023
full_core,202,dynamic_k,random,team_matchmaking,26.961885026563028,186.75837755799705,2426.5696523906727,0.4419382423103757,0.7253416674240803
full_core,202,dynamic_k,role_aware,team_matchmaking,26.9831249570169,174.64721101707397,2428.481246131521,0.1354290761954283,0.4804967127334281
full_core,203,dynamic_k,multi_objective,cold_start,28.24849094355351,168.16944396947758,2542.3641849198157,0.2893770773527142,0.5089782898889397
full_core,203,dynamic_k,multi_objective,pareto_fast,27.70235491088013,172.24879160209267,2493.2119419792116,0.2536997349824924,0.5009206628557753
full_core,203,dynamic_k,multi_objective,pareto_strict,26.78525110967461,172.13736524260744,2410.672599870715,0.2680833019691291,0.512481834526159
full_core,203,dynamic_k,multi_objective,proxy_default,26.553322705158827,172.41623128405203,2389.7990434642943,0.2936919282313241,0.5108923143608572
full_core,203,dynamic_k,multi_objective,proxy_divergence_heavy,26.553322705158827,172.41623128405203,2389.7990434642943,0.2936919282313241,0.544910731843397
full_core,203,dynamic_k,multi_objective,proxy_exposure_heavy,26.553322705158827,172.41623128405203,2389.7990434642943,0.2936919282313241,0.612131250184421
full_core,203,dynamic_k,multi_objective,proxy_waiting_heavy,26.553322705158827,172.41623128405203,2389.7990434642943,0.2936919282313241,0.5697544559713853
full_core,203,dynamic_k,multi_objective,rank_mmr_divergence,44.227338657491686,146.2611189915698,3980.4604791742518,0.27935269827448606,0.5327188855371865
full_core,203,context_aware,nearest,rating_validity,29.032140307055837,185.0073770323052,2612.8926276350253,0.5079962079089787,0.7306491978874754
full_core,203,drift_aware,nearest,rating_validity,26.6161572341894,110.28993686916506,2395.454151077046,0.503122056115764,0.7173862582344203
full_core,203,dynamic_k,nearest,rating_validity,27.563897437006823,183.735162105354,2480.750769330614,0.5501874288134994,0.7337906526297111
full_core,203,elo,nearest,rating_validity,18.51494104237572,157.68526338993996,1666.344693813815,0.5818920121164605,0.7564626492695457
full_core,203,glicko_like,nearest,rating_validity,23.526335891176487,165.2112547940066,2117.3702302058837,0.580985699509142,0.7575566712274165
full_core,203,dynamic_k,multi_objective,role_scarcity,27.965149313781577,172.32561220319897,2516.863438240342,0.273116256393121,0.51583242759784
full_core,203,dynamic_k,multi_objective,seasonal_reset,26.348530666058767,170.8633645262331,2371.367759945289,0.26117967698560624,0.5075468934479561
full_core,203,dynamic_k,multi_objective,skill_drift,27.168481907681425,172.7800883414758,2445.1633716913284,0.2504778584811086,0.5014621011909393
full_core,203,dynamic_k,multi_objective,smurf_disruption,26.80230433100005,193.23118732350403,2412.2073897900045,0.4056306646445064,0.5442429325978404
full_core,203,dynamic_k,expanding,team_matchmaking,27.563897437006823,183.735162105354,2480.750769330614,0.5501874288134994,0.7337906526297111
full_core,203,dynamic_k,fairness_constrained,team_matchmaking,27.69620230095851,183.9614994026936,2492.658207086266,0.4909387661378499,0.7354899946422817
full_core,203,dynamic_k,multi_objective,team_matchmaking,26.553322705158827,172.41623128405203,2389.7990434642943,0.2936919282313241,0.5108923143608572
full_core,203,dynamic_k,nearest,team_matchmaking,27.563897437006823,183.735162105354,2480.750769330614,0.5501874288134994,0.7337906526297111
full_core,203,dynamic_k,random,team_matchmaking,27.508747607845304,186.17490650417076,2475.7872847060776,0.5385236094391248,0.7551643830134918
full_core,203,dynamic_k,role_aware,team_matchmaking,27.00543608324137,172.41692690566111,2430.4892474917233,0.14138455123753405,0.5104125464441237
full_core,204,dynamic_k,multi_objective,cold_start,27.76351299936445,170.27709957957444,2498.7161699428007,0.28088597556961015,0.5000297059063705
full_core,204,dynamic_k,multi_objective,pareto_fast,27.75674661438297,171.64970870492328,2498.107195294467,0.29346460296698995,0.5077288698597292
full_core,204,dynamic_k,multi_objective,pareto_strict,27.272851788403155,172.56618394832168,2454.556660956284,0.273768552674133,0.5053629868885866
full_core,204,dynamic_k,multi_objective,proxy_default,27.14806470248785,172.45171406658844,2443.3258232239064,0.2842253294835856,0.5052110088730353
full_core,204,dynamic_k,multi_objective,proxy_divergence_heavy,27.14806470248785,172.45171406658844,2443.3258232239064,0.2842253294835856,0.5406989467691796
full_core,204,dynamic_k,multi_objective,proxy_exposure_heavy,27.14806470248785,172.45171406658844,2443.3258232239064,0.2842253294835856,0.6082479542391989
