subset,question,feature,human_rating,n,spearman,spearman_ci_low,spearman_ci_high,kendall,permutation_p
attention_pass_rows,Q1 fairness debt vs acceptability,fairness_debt_index,acceptability,590,-0.5503915646457315,-0.6035994402074429,-0.4893505010022541,-0.41786119209542716,0.001996007984031936
attention_pass_rows,Q2 hysteresis vs progression mismatch,rank_mmr_hysteresis_area,progression_mismatch_salience,590,0.9252668767485717,0.9150097758854057,0.9332349937037151,0.7987227167577454,0.001996007984031936
attention_pass_rows,Q2 hysteresis vs system concern,rank_mmr_hysteresis_area,system_concern,590,0.703797459364859,0.6555190443719252,0.7454466280697498,0.5530806234315326,0.001996007984031936
attention_pass_rows,Q3 smurf exposure vs perceived unfairness,smurf_victimization,perceived_unfairness,590,0.48027776786233123,0.41157368753398,0.5397127669509805,0.3593259661192763,0.001996007984031936
attention_pass_rows,Q3 smurf exposure vs system concern,smurf_victimization,system_concern,590,0.6340207045893755,0.5800050772730228,0.6829726472048453,0.479609286714552,0.001996007984031936
attention_pass_rows,waiting pressure vs frustration risk,waiting_time_proxy,frustration_risk,590,0.15325047907699693,0.07114630603134475,0.2319757674643943,0.1136584545107677,0.001996007984031936
attention_pass_rows,role mismatch vs system concern,role_mismatch_rate,system_concern,590,-0.12481255946639652,-0.20249351618561262,-0.04821087719318937,-0.09232453750900861,0.003992015968063872
attention_pass_rows,balance proxy vs perceived unfairness,win_prob_deviation_proxy,perceived_unfairness,590,0.6218558611794917,0.5728556802478785,0.66549483586495,0.48087576568722645,0.001996007984031936
core_qc_rows,Q1 fairness debt vs perceived unfairness,fairness_debt_index,perceived_unfairness,587,0.6233185888836223,0.5683183923370715,0.67188214650475,0.4823717996610675,0.001996007984031936
core_qc_rows,Q1 fairness debt vs frustration risk,fairness_debt_index,frustration_risk,587,0.5563427758530662,0.49713584989326703,0.6110653819651237,0.4231520860191966,0.001996007984031936
core_qc_rows,Q1 fairness debt vs system concern,fairness_debt_index,system_concern,587,0.37009411758057753,0.2972033711668734,0.43837619118306453,0.2760757595617197,0.001996007984031936
core_qc_rows,Q1 fairness debt vs acceptability,fairness_debt_index,acceptability,587,-0.5499175856020565,-0.6033598220509592,-0.49035916433709914,-0.41788355913471,0.001996007984031936
core_qc_rows,Q2 hysteresis vs progression mismatch,rank_mmr_hysteresis_area,progression_mismatch_salience,587,0.9248834419835109,0.9132804020355454,0.934468057647207,0.7981286262770415,0.001996007984031936
core_qc_rows,Q2 hysteresis vs system concern,rank_mmr_hysteresis_area,system_concern,587,0.7114148300611487,0.6674601001766557,0.7537884412817717,0.5589250789160424,0.001996007984031936
core_qc_rows,Q3 smurf exposure vs perceived unfairness,smurf_victimization,perceived_unfairness,587,0.4793979788742174,0.41192081083190946,0.5419293584880741,0.35963609526801804,0.001996007984031936
core_qc_rows,Q3 smurf exposure vs system concern,smurf_victimization,system_concern,587,0.6357548545177688,0.581399814218393,0.6848801736479061,0.4809407781718788,0.001996007984031936
core_qc_rows,waiting pressure vs frustration risk,waiting_time_proxy,frustration_risk,587,0.15667711127883263,0.07381242465284353,0.24079577002370184,0.11626116410291018,0.001996007984031936
core_qc_rows,role mismatch vs system concern,role_mismatch_rate,system_concern,587,-0.12461483426116184,-0.20068362333506654,-0.044611111644516095,-0.09199400714805396,0.003992015968063872
core_qc_rows,balance proxy vs perceived unfairness,win_prob_deviation_proxy,perceived_unfairness,587,0.6233185888836223,0.5683183923370715,0.67188214650475,0.4823717996610675,0.001996007984031936
strict_qc_rows,Q1 fairness debt vs perceived unfairness,fairness_debt_index,perceived_unfairness,579,0.6184875980576494,0.5663691873440165,0.663132183471355,0.47827358180517815,0.001996007984031936
strict_qc_rows,Q1 fairness debt vs frustration risk,fairness_debt_index,frustration_risk,579,0.5507783622103819,0.49060662978540465,0.605861314566072,0.41884618147130476,0.001996007984031936
strict_qc_rows,Q1 fairness debt vs system concern,fairness_debt_index,system_concern,579,0.35913901016321537,0.2937550591439895,0.4251694939885037,0.2679518799911957,0.001996007984031936
strict_qc_rows,Q1 fairness debt vs acceptability,fairness_debt_index,acceptability,579,-0.543490153131975,-0.5976634295120224,-0.48487004363255193,-0.412866534135998,0.001996007984031936
strict_qc_rows,Q2 hysteresis vs progression mismatch,rank_mmr_hysteresis_area,progression_mismatch_salience,579,0.9259021097710753,0.9147701667133209,0.934966315208152,0.8002323850212211,0.001996007984031936
strict_qc_rows,Q2 hysteresis vs system concern,rank_mmr_hysteresis_area,system_concern,579,0.705024811857474,0.6565037177841193,0.7446823304454127,0.5540545827822488,0.001996007984031936
strict_qc_rows,Q3 smurf exposure vs perceived unfairness,smurf_victimization,perceived_unfairness,579,0.47635299324309577,0.41245446309228767,0.5374714966012104,0.3577655626348639,0.001996007984031936
strict_qc_rows,Q3 smurf exposure vs system concern,smurf_victimization,system_concern,579,0.6372467635424731,0.5862543632985562,0.6838513635224361,0.4824935392433788,0.001996007984031936
strict_qc_rows,waiting pressure vs frustration risk,waiting_time_proxy,frustration_risk,579,0.1629557773006036,0.08153656190818982,0.2448833784497692,0.12112719684647236,0.001996007984031936
strict_qc_rows,role mismatch vs system concern,role_mismatch_rate,system_concern,579,-0.12879552696853114,-0.2051476392203924,-0.055413813737623545,-0.09519559489194605,0.007984031936127744
strict_qc_rows,balance proxy vs perceived unfairness,win_prob_deviation_proxy,perceived_unfairness,579,0.6184875980576494,0.5663691873440165,0.663132183471355,0.47827358180517815,0.001996007984031936
