profile,seed,rating,policy,scenario,n_matches,prediction_log_loss,brier_score,rating_mae,rating_rmse,rating_volatility,expected_winprob_deviation,team_mmr_gap,role_mismatch_rate,within_team_variance,waiting_time_proxy,unfair_match_exposure,repeated_large_gap_exposure,new_player_unfair_exposure,low_activity_unfair_exposure,smurf_victimization,waiting_time_frustration,tail_unfairness_p95,cvar_unfairness_worst5,visible_rank_volatility,mmr_rank_divergence,exposure_risk_index,churn_risk_proxy,loss_streak_exposure,task_id,smurf_ratio,smurf_skill_gap,role_scarcity,role_scarcity_level,new_player_ratio,candidate_pool_size,n_players,days,matches_per_day,fairness_debt,fairness_debt_reduction_vs_nearest,smurf_victimization_delta_vs_nearest,risk_transfer_index,nearest_debt,nearest_smurf
risk_transfer,601,dynamic_k,multi_objective_with_smurf_exposure_penalty,risk_transfer,192,0.6918620768205755,0.2493645157754266,340.91791390223926,423.2491612911584,0.1163888746252041,0.124302875111948,7.727486096010231,0.0598958333333333,2762.0953631682555,5.768229166666667,0.9305555555555556,0.3069444444444444,0.6212121212121212,0.3295454545454545,0.0,0.2526388888888888,0.2685781513719953,0.3279832484889599,122.70979186197656,12.578800710470928,0.0808524439212915,0.0808524439212915,0.3583333333333333,risk_seed601_sr0.0_gap700_high_multi_objective_with_smurf_exposure_penalty,0.0,700,high,0.45,0.1,30,720,16,120,0.15513893615331636,0.3436248539100449,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,multi_objective_with_smurf_exposure_penalty,risk_transfer,192,0.6960927957488144,0.2514659918179245,336.8352269888264,419.2002458743022,0.1144072788691999,0.1277303411313832,6.883060495057303,0.06015625,2900.481188365273,5.914583333333333,0.9722222222222222,0.3055555555555556,0.2923076923076923,0.4545454545454545,0.0,0.2866666666666666,0.2742340313757536,0.3164642002922535,122.66053461514058,12.163516265436282,0.0824552617512261,0.0824552617512261,0.3611111111111111,risk_seed601_sr0.0_gap300_low_multi_objective_with_smurf_exposure_penalty,0.0,300,low,0.08,0.1,30,720,16,120,0.16696804602316798,0.2793466390238538,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6950371445808825,0.2509391393797485,339.3245513672184,421.6972350153112,0.1135797283103588,0.1332888317112033,6.657901856152068,0.0104166666666666,2452.911331345225,5.929166666666667,1.0694444444444444,0.3944444444444444,0.4769230769230769,0.3977272727272727,0.0,0.2904166666666666,0.2844972382913094,0.3188922128636878,123.08913953317732,11.370060121297223,0.088364806670287,0.088364806670287,0.3291666666666666,risk_seed601_sr0.0_gap300_low_role_aware,0.0,300,low,0.08,0.1,30,720,16,120,0.11235010148543449,0.3339645835615873,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,multi_objective_without_smurf_penalty,risk_transfer,192,0.6935561530750993,0.2502053496456954,337.0513912593747,420.6143630073727,0.113979162055043,0.1139933197729211,5.338499419018652,0.0466145833333333,2701.3490663148154,5.8656250000000005,0.7916666666666666,0.2638888888888889,0.4029850746268656,0.375,0.0,0.2740277777777778,0.272845221861942,0.3113015547393806,122.90601937887004,11.068551439736694,0.0723037470543356,0.0723037470543356,0.3236111111111111,risk_seed601_sr0.0_gap300_low_multi_objective_without_smurf_penalty,0.0,300,low,0.08,0.1,30,720,16,120,0.12008120913968777,0.32623347590733404,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,multi_objective_with_smurf_exposure_penalty,risk_transfer,192,0.6918620768205755,0.2493645157754266,340.91791390223926,423.2491612911584,0.1163888746252041,0.124302875111948,7.727486096010231,0.0598958333333333,2762.0953631682555,5.768229166666667,0.9305555555555556,0.3069444444444444,0.6212121212121212,0.3295454545454545,0.0,0.2526388888888888,0.2685781513719953,0.3279832484889599,122.70979186197656,12.578800710470928,0.0808524439212915,0.0808524439212915,0.3583333333333333,risk_seed601_sr0.0_gap300_high_multi_objective_with_smurf_exposure_penalty,0.0,300,high,0.45,0.1,30,720,16,120,0.15513893615331636,0.3436248539100449,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6950371445808825,0.2509391393797485,339.3245513672184,421.6972350153112,0.1135797283103588,0.1332888317112033,6.657901856152068,0.0104166666666666,2452.911331345225,5.929166666666667,1.0694444444444444,0.3944444444444444,0.4769230769230769,0.3977272727272727,0.0,0.2904166666666666,0.2844972382913094,0.3188922128636878,123.08913953317732,11.370060121297223,0.088364806670287,0.088364806670287,0.3291666666666666,risk_seed601_sr0.0_gap700_low_role_aware,0.0,700,low,0.08,0.1,30,720,16,120,0.11235010148543449,0.3339645835615873,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,multi_objective_without_smurf_penalty,risk_transfer,192,0.6935561530750993,0.2502053496456954,337.0513912593747,420.6143630073727,0.113979162055043,0.1139933197729211,5.338499419018652,0.0466145833333333,2701.3490663148154,5.8656250000000005,0.7916666666666666,0.2638888888888889,0.4029850746268656,0.375,0.0,0.2740277777777778,0.272845221861942,0.3113015547393806,122.90601937887004,11.068551439736694,0.0723037470543356,0.0723037470543356,0.3236111111111111,risk_seed601_sr0.0_gap700_low_multi_objective_without_smurf_penalty,0.0,700,low,0.08,0.1,30,720,16,120,0.12008120913968777,0.32623347590733404,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,732,0.6956099854531888,0.2510809563475327,338.3182727911992,429.3537729285972,0.1344069130445412,0.2250922377781108,46.51824282257258,0.0187841530054644,266.7622952593489,5.991256830601094,1.9527777777777773,1.0027777777777778,1.540983606557377,0.7261904761904762,0.1708333333333333,0.4979166666666667,0.4529079325198449,0.4714415765719547,145.8492115203306,16.566108013749968,0.1673540339886728,0.1673540339886728,0.4861111111111111,risk_seed601_sr0.02_gap700_low_nearest,0.02,700,low,0.08,0.1,30,720,16,120,0.47448371383269716,0.0,0.0,0.0,0.47448371383269716,0.1708333333333333
risk_transfer,601,dynamic_k,multi_objective_with_smurf_exposure_penalty,risk_transfer,192,0.6960927957488144,0.2514659918179245,336.8352269888264,419.2002458743022,0.1144072788691999,0.1277303411313832,6.883060495057303,0.06015625,2900.481188365273,5.914583333333333,0.9722222222222222,0.3055555555555556,0.2923076923076923,0.4545454545454545,0.0,0.2866666666666666,0.2742340313757536,0.3164642002922535,122.66053461514058,12.163516265436282,0.0824552617512261,0.0824552617512261,0.3611111111111111,risk_seed601_sr0.0_gap700_low_multi_objective_with_smurf_exposure_penalty,0.0,700,low,0.08,0.1,30,720,16,120,0.16696804602316798,0.2793466390238538,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,840,0.6926094022691313,0.2497310101631604,337.11422420526014,429.162244543959,0.1399677559503986,0.2276666232996892,48.49526654950546,0.0154761904761904,194.698039079308,5.966428571428572,2.1,1.3111111111111111,2.3015873015873014,0.8809523809523809,0.2208333333333333,0.5220833333333333,0.453176404823335,0.4734560898439841,145.36875069763846,18.994214295504253,0.1961635344647624,0.1961635344647624,0.5722222222222222,risk_seed601_sr0.02_gap700_high_nearest,0.02,700,high,0.45,0.1,30,720,16,120,0.5734303996193404,0.0,0.0,0.0,0.5734303996193404,0.2208333333333333
risk_transfer,601,dynamic_k,nearest,risk_transfer,1164,0.6939754665726531,0.2504031386019653,332.5006816595826,412.9628635714614,0.1457233562745369,0.2381399009352156,51.871856840775614,0.0074312714776632,18.098422012732406,5.990635738831615,2.6416666666666666,1.6430555555555555,2.982456140350877,0.8571428571428571,0.7555555555555555,0.6331944444444444,0.4556945344163545,0.4756670085228953,126.93032698369468,19.06839545347567,0.2334938753399694,0.2334938753399694,0.5930555555555556,risk_seed601_sr0.05_gap300_low_nearest,0.05,300,low,0.08,0.1,30,720,16,120,0.7002277055088503,0.0,0.0,0.0,0.7002277055088503,0.7555555555555555
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6901576420982122,0.2485050508838296,337.0786523944872,423.5349029415625,0.1130091022833786,0.1245282933637214,8.752743120834142,0.0111979166666666,3963.4408064576,6.017187500000001,0.9444444444444444,0.3333333333333333,0.65625,0.2738095238095238,0.8027777777777778,0.3044444444444444,0.2840131979256548,0.3212336384251288,134.17266801096733,10.8053366828825,0.080754997256366,0.080754997256366,0.3291666666666666,risk_seed601_sr0.02_gap300_low_role_aware,0.02,300,low,0.08,0.1,30,720,16,120,0.14315082839344692,0.3290802856877185,0.14027777777777783,0.42627220127946147,0.4722311140811654,0.6625
risk_transfer,601,dynamic_k,multi_objective_with_smurf_exposure_penalty,risk_transfer,192,0.699386366620672,0.2530974849263257,335.2023459171216,420.9401063074846,0.1131161296944042,0.1272645200886466,9.516379964176991,0.07265625,3965.824772709078,6.026562500000001,0.9583333333333334,0.3833333333333333,0.4393939393939394,0.369047619047619,0.4,0.3030555555555556,0.297848508178774,0.3347025666073985,134.26546807852753,11.42761180908123,0.0852713801236394,0.0852713801236394,0.3361111111111111,risk_seed601_sr0.02_gap300_low_multi_objective_with_smurf_exposure_penalty,0.02,300,low,0.08,0.1,30,720,16,120,0.2290957254534929,0.2431353886276725,-0.26249999999999996,-1.079645383922213,0.4722311140811654,0.6625
risk_transfer,601,dynamic_k,multi_objective_without_smurf_penalty,risk_transfer,192,0.6912940263705076,0.2490833187746312,337.0033237716257,423.2815748042845,0.1132097881084284,0.1359934470011586,8.14027878669082,0.0526041666666666,4097.340839649873,5.9875,1.125,0.5416666666666666,0.6764705882352942,0.3095238095238095,0.5444444444444444,0.2972222222222222,0.3009825684353889,0.3300514450892107,134.82854649576765,10.990565178435023,0.0972934766223064,0.0972934766223064,0.3097222222222222,risk_seed601_sr0.02_gap300_low_multi_objective_without_smurf_penalty,0.02,300,low,0.08,0.1,30,720,16,120,0.23922389539221886,0.23300721868894655,-0.11805555555555558,-0.5066605069998028,0.4722311140811654,0.6625
risk_transfer,601,dynamic_k,nearest,risk_transfer,732,0.6929686948984229,0.249913511245171,341.44902588834907,423.0119667214194,0.1357880208481204,0.2262699808644501,46.127983245464456,0.0188524590163934,46.06793615204727,6.057650273224043,1.8416666666666663,0.9486111111111112,2.0476190476190474,0.7252747252747253,1.0777777777777775,0.5013888888888889,0.4517140768073867,0.4704426731601737,125.9565468355648,19.39585691916755,0.1684052884815577,0.1684052884815577,0.5958333333333333,risk_seed601_sr0.05_gap300_high_nearest,0.05,300,high,0.45,0.1,30,720,16,120,0.5481401549448136,0.0,0.0,0.0,0.5481401549448136,1.0777777777777775
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6965538354301497,0.2517000943980944,335.8154394941937,421.2984745209024,0.1160400301361149,0.1301786020903353,7.176654807371858,0.01640625,4014.184513094968,5.888020833333333,1.0833333333333333,0.4097222222222222,0.9230769230769232,0.3571428571428571,0.8041666666666667,0.2730555555555555,0.3057676536917856,0.3533644611378118,133.78554407870425,11.98840718677054,0.0917859703711479,0.0917859703711479,0.3875,risk_seed601_sr0.02_gap300_high_role_aware,0.02,300,high,0.45,0.1,30,720,16,120,0.20924199353547634,0.3327331116295409,0.2930555555555556,0.8807526071581312,0.5419751051650172,0.5111111111111111
risk_transfer,601,dynamic_k,multi_objective_with_smurf_exposure_penalty,risk_transfer,192,0.6968691660136298,0.2518802601957095,338.5090782610088,422.8806248770833,0.1160368341845418,0.1262941545367088,10.810925167557116,0.0760416666666666,4719.924491131262,5.884375,0.9027777777777778,0.3319444444444444,0.746268656716418,0.2619047619047619,0.3958333333333333,0.2786111111111111,0.2881795837326525,0.3407427570248921,133.7114654118143,12.475884060871635,0.083237675809911,0.083237675809911,0.3777777777777777,risk_seed601_sr0.02_gap300_high_multi_objective_with_smurf_exposure_penalty,0.02,300,high,0.45,0.1,30,720,16,120,0.21590882143118575,0.3260662837338315,-0.11527777777777776,-0.3535409317937307,0.5419751051650172,0.5111111111111111
risk_transfer,601,dynamic_k,multi_objective_without_smurf_penalty,risk_transfer,192,0.6920203139407901,0.2494405482503312,336.0153511206255,419.7594396760073,0.1159509140040488,0.1494094135812349,6.936616241360316,0.0611979166666666,4034.028692892756,5.911979166666666,1.1805555555555556,0.4666666666666667,0.7205882352941176,0.5238095238095238,0.7638888888888888,0.2763888888888889,0.3190635562242888,0.3547457597469255,134.0040441517622,12.117343096321434,0.0975084219099659,0.0975084219099659,0.3791666666666666,risk_seed601_sr0.02_gap300_high_multi_objective_without_smurf_penalty,0.02,300,high,0.45,0.1,30,720,16,120,0.3139670209642696,0.22800808420074764,0.25277777777777777,1.1086351550378446,0.5419751051650172,0.5111111111111111
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6993884730721419,0.2531294594147383,349.17190688691005,440.8902963164812,0.1160224289686717,0.1387792570970897,12.611049155640655,0.0174479166666666,7494.371238290319,5.919270833333333,1.0833333333333333,0.4569444444444444,0.8615384615384616,0.3571428571428571,0.6847222222222222,0.2779166666666666,0.318007888480162,0.3524682566834467,144.7014171566473,11.66889701052084,0.0935682675424852,0.0935682675424852,0.3652777777777777,risk_seed601_sr0.02_gap700_high_role_aware,0.02,700,high,0.45,0.1,30,720,16,120,0.21189286426071538,0.361537535358625,0.4638888888888889,1.2831002137267356,0.5734303996193404,0.2208333333333333
