profile,seed,rating,policy,scenario,n_matches,prediction_log_loss,brier_score,rating_mae,rating_rmse,rating_volatility,expected_winprob_deviation,team_mmr_gap,role_mismatch_rate,within_team_variance,waiting_time_proxy,unfair_match_exposure,new_player_unfair_exposure,smurf_victimization,tail_unfairness_p95,cvar_unfairness_worst5,visible_rank_volatility,mmr_rank_divergence,churn_risk_proxy,loss_streak_exposure
medium,106,dynamic_k,nearest,role_scarcity,1470,0.6949511995072045,0.25085979433352995,355.7070889590084,462.05302517237743,0.16792594693160087,0.22979268101417913,47.59942526613938,0.0,102.76720898898463,6.0330612244897965,3.5388888888888888,2.76271186440678,1.773611111111111,0.45215430360275144,0.47294458231147085,149.9474497135087,24.40515820697611,0.28705237010305223,0.7666666666666667
medium,106,dynamic_k,role_aware,role_scarcity,336,0.6948245710243705,0.2508327004810872,381.6416981816815,492.12993150293465,0.1329442672333498,0.13253622426921022,8.057918098679682,0.0,5856.167200881453,5.908035714285714,1.7638888888888888,0.5072463768115942,2.879166666666667,0.29447747740731184,0.33568056045225864,148.76722902428642,14.228337279433926,0.12371824127327193,0.3861111111111111
medium,106,dynamic_k,multi_objective,role_scarcity,336,0.6948245710243705,0.2508327004810872,381.6416981816815,492.12993150293465,0.1329442672333498,0.13253622426921022,8.057918098679682,0.0,5856.167200881453,5.908035714285714,1.7638888888888888,0.5072463768115942,2.879166666666667,0.29447747740731184,0.33568056045225864,148.76722902428642,14.228337279433926,0.12371824127327193,0.3861111111111111
medium,106,dynamic_k,nearest,rank_mmr_divergence,1470,0.6942381951476507,0.2505233707455158,349.93691702917727,450.7467222990968,0.16851632145742287,0.22623210556050793,47.603387377833684,0.0,94.5437114738632,6.0330612244897965,3.488888888888889,2.694915254237288,1.7722222222222221,0.45061368264626867,0.46866015323968274,126.44285373099198,36.463440072532535,0.30210168798829123,0.7513888888888889
medium,106,dynamic_k,role_aware,rank_mmr_divergence,336,0.6963683305178111,0.25160926797702793,372.8813006628305,480.1771138331585,0.13417692692303593,0.12987546003089007,8.086542407736301,0.0,5082.21506060212,5.909226190476191,1.7777777777777777,0.6197183098591549,2.9902777777777776,0.2971309626403228,0.34120962356131707,125.9389520236234,22.067082074826015,0.14216984907363023,0.425
medium,106,dynamic_k,multi_objective,rank_mmr_divergence,336,0.6963683305178111,0.25160926797702793,372.8813006628305,480.1771138331585,0.13417692692303593,0.12987546003089007,8.086542407736301,0.0,5082.21506060212,5.909226190476191,1.7777777777777777,0.6197183098591549,2.9902777777777776,0.2971309626403228,0.34120962356131707,125.9389520236234,22.067082074826015,0.14216984907363023,0.425
medium,106,dynamic_k,nearest,pareto_strict,1470,0.6949511995072045,0.25085979433352995,355.7070889590084,462.05302517237743,0.16792594693160087,0.22979268101417913,47.59942526613938,0.0,102.76720898898463,6.0330612244897965,3.5388888888888888,2.76271186440678,1.773611111111111,0.45215430360275144,0.47294458231147085,149.9474497135087,24.40515820697611,0.28705237010305223,0.7666666666666667
medium,106,dynamic_k,role_aware,pareto_strict,336,0.6933945734581938,0.25012324056938423,381.03845742085673,490.67483124574073,0.1330293820921227,0.1268321289048433,6.748522087417345,0.0,6032.838249937581,5.966369047619047,1.7777777777777777,0.5733333333333334,2.9583333333333335,0.2945306097730105,0.3466159036852681,148.84217943194236,14.332036620318974,0.12552680447273318,0.4236111111111111
medium,106,dynamic_k,multi_objective,pareto_strict,336,0.6933945734581938,0.25012324056938423,381.03845742085673,490.67483124574073,0.1330293820921227,0.1268321289048433,6.748522087417345,0.0,6032.838249937581,5.966369047619047,1.7777777777777777,0.5733333333333334,2.9583333333333335,0.2945306097730105,0.3466159036852681,148.84217943194236,14.332036620318974,0.12552680447273318,0.4236111111111111
medium,106,dynamic_k,nearest,pareto_fast,1470,0.6949511995072045,0.25085979433352995,355.7070889590084,462.05302517237743,0.16792594693160087,0.22979268101417913,47.59942526613938,0.0,102.76720898898463,6.0330612244897965,3.5388888888888888,2.76271186440678,1.773611111111111,0.45215430360275144,0.47294458231147085,149.9474497135087,24.40515820697611,0.28705237010305223,0.7666666666666667
medium,106,dynamic_k,role_aware,pareto_fast,336,0.7013773823473001,0.2540543009994964,378.362144306573,487.93453826780257,0.13292577162685326,0.13338025153047806,12.425363466329888,0.0,6929.471335101439,5.791666666666667,1.8194444444444444,0.9342105263157895,2.8986111111111112,0.3175816018287166,0.3556589615554358,148.54987238311406,14.709406082418521,0.12213309126132993,0.39444444444444443
medium,106,dynamic_k,multi_objective,pareto_fast,336,0.7013773823473001,0.2540543009994964,378.362144306573,487.93453826780257,0.13292577162685326,0.13338025153047806,12.425363466329888,0.0,6929.471335101439,5.791666666666667,1.8194444444444444,0.9342105263157895,2.8986111111111112,0.3175816018287166,0.3556589615554358,148.54987238311406,14.709406082418521,0.12213309126132993,0.39444444444444443
medium,107,dynamic_k,nearest,cold_start,1092,0.694442389327688,0.2506399321041786,359.9314264913474,458.1847502240518,0.15711333228162,0.22012216122274836,42.675158966807956,0.0,117.59941396513058,6.125274725274726,3.061111111111111,2.3153846153846156,1.648611111111111,0.45393148423148777,0.47057356006980283,142.82281410780877,20.266833869025746,0.23840383697978068,0.5305555555555556
medium,107,dynamic_k,role_aware,cold_start,336,0.694484990711066,0.2506665418793794,372.3579873105404,474.6776449576272,0.13442456642691644,0.14246182733841056,8.927806898197554,0.0,6181.6885894559355,5.810119047619047,2.0277777777777777,0.8273381294964028,2.6152777777777776,0.32902895262085724,0.36107024402244525,141.39029553411655,15.108120247614721,0.1445019093279649,0.3861111111111111
medium,107,dynamic_k,multi_objective,cold_start,336,0.694484990711066,0.2506665418793794,372.3579873105404,474.6776449576272,0.13442456642691644,0.14246182733841056,8.927806898197554,0.0,6181.6885894559355,5.810119047619047,2.0277777777777777,0.8273381294964028,2.6152777777777776,0.32902895262085724,0.36107024402244525,141.39029553411655,15.108120247614721,0.1445019093279649,0.3861111111111111
